GameID,Away,Home,AwayEff,HomeEff,FinalMargin,Model spread,MktHomeSpr,SpreadEdge,SupportedSide,ATS_REC,Reconciliation
2026_01_NE_SEA,NE,SEA,2.43,4.84,4.01,SEA -4.0,-3.5,0.51,SEA -3.5,,MATCH
2026_01_SF_LA,SF,LA,2.68,5.36,2.68,LA -2.7,-3.5,-0.82,SF +3.5,,MATCH
2026_01_CHI_CAR,CHI,CAR,1.28,-2.02,-1.7,CHI -1.7,2.5,0.8,CAR +2.5,,MATCH
2026_01_TB_CIN,TB,CIN,-0.55,-0.6,1.55,CIN -1.6,-3.5,-1.95,TB +3.5,INVESTIGATE,MATCH
2026_01_NO_DET,NO,DET,-1.64,1.64,4.88,DET -4.9,-6.5,-1.62,NO +6.5,INVESTIGATE,MATCH
2026_01_BUF_HOU,BUF,HOU,3.17,2.3,0.73,HOU -0.7,1.5,2.23,HOU +1.5,INVESTIGATE,MATCH
2026_01_BAL_IND,BAL,IND,2.46,0.22,-0.64,BAL -0.6,3.5,2.86,IND +3.5,INVESTIGATE,MATCH
2026_01_CLE_JAX,CLE,JAX,-3.8,2.4,7.8,JAX -7.8,-7.5,0.3,JAX -7.5,,MATCH
2026_01_ATL_PIT,ATL,PIT,-1.06,0.06,2.72,PIT -2.7,-3.5,-0.78,ATL +3.5,,MATCH
2026_01_NYJ_TEN,NYJ,TEN,-5.5,-3.86,3.24,TEN -3.2,-2.5,0.74,TEN -2.5,,MATCH
2026_01_ARI_LAC,ARI,LAC,-4.16,1.16,6.92,LAC -6.9,-10.5,-3.58,ARI +10.5,INVESTIGATE,MATCH
2026_01_MIA_LV,MIA,LV,-4.49,-4.5,2.09,LV -2.1,-3.5,-1.41,MIA +3.5,,MATCH
2026_01_GB_MIN,GB,MIN,1.55,-0.01,0.04,PK,-1.5,-1.46,GB +1.5,,MATCH
2026_01_WAS_PHI,WAS,PHI,-1.92,2.17,5.69,PHI -5.7,-5,0.69,PHI -5.0,,MATCH
2026_01_DAL_NYG,DAL,NYG,-1.07,-1.9,0.77,NYG -0.8,2.5,3.27,NYG +2.5,INVESTIGATE,MATCH
2026_01_DEN_KC,DEN,KC,2.32,1.02,0.3,KC -0.3,-2.5,-2.2,DEN +2.5,INVESTIGATE,MATCH
