Team,SrcA raw,SrcA regressed,VSiN Makinen raw,VSiN centered,ESPN FPI raw,FPI centered,Combined B centered,Win total BetMGM,Win total Fanatics,Win total consensus,WinTotal conflict?,SrcC implied pts,Prior current (A only),Prior A+B VSiN,Prior A+B FPI,Prior A+B combined,Prior A+B+C combined,Wk1 eff current (W1-A),Wk1 eff current (W1-B),Wk1 eff A+B VSiN (W1-A),Wk1 eff A+B FPI (W1-A),Wk1 eff A+B comb (W1-A),Wk1 eff A+B comb (W1-B),Wk1 eff A+B+C comb (W1-A),Rank current,Rank A+B VSiN,Rank A+B FPI,Rank A+B comb,Rank A+B+C comb,FPI rank,Flag TTW-vs-FPI >=2.5,Flag rank gap >=8,Flag movement >=1.5,Flag SrcC direction,Flag GP0-dependent >=0.8
ARI,-3.86,-2.59,17.5,-6.5,-5.38,-5.43,-5.96,3.5,4.5,4,Y,-9.58,-2.59,-4.41,-3.92,-4.16,-5.52,-2.07,-2.59,-3.53,-3.14,-3.33,-4.16,-4.42,26,30,27,29,31,31,Y,N,Y,N,N
ATL,-0.12,-0.08,21.5,-2.5,-1.8,-1.85,-2.17,7.5,7.5,7.5,N,-2.23,-0.08,-1.21,-0.91,-1.06,-1.35,-0.06,-0.08,-0.97,-0.73,-0.85,-1.06,-1.08,19,21,22,21,22,24,N,N,N,N,N
BAL,1.72,1.15,28.5,4.5,3.45,3.41,3.95,11.5,11.5,11.5,N,6.17,1.15,2.71,2.2,2.46,3.39,0.92,1.15,2.17,1.76,1.97,2.46,2.71,10,6,7,5,3,4,N,N,N,N,N
BUF,3.27,2.19,28.5,4.5,4.11,4.07,4.28,10.5,10.5,10.5,N,4.07,2.19,3.27,3.07,3.17,3.39,1.75,2.19,2.62,2.46,2.54,3.17,2.71,8,3,3,3,3,2,N,N,N,N,N
CAR,-2.42,-1.62,22,-2,-2.9,-2.95,-2.47,7.5,7.5,7.5,N,-2.23,-1.62,-1.8,-2.24,-2.02,-2.07,-1.3,-1.62,-1.44,-1.79,-1.62,-2.02,-1.66,22,24,26,26,26,26,N,N,N,N,N
CHI,1.6,1.07,26,2,1.11,1.07,1.53,9.5,9.5,9.5,N,1.97,1.07,1.5,1.07,1.28,1.46,0.86,1.07,1.2,0.86,1.02,1.28,1.17,11,12,15,13,15,17,N,N,N,N,N
CIN,-2.85,-1.91,24,0,1.84,1.79,0.9,9.5,9.5,9.5,N,1.97,-1.91,-1.02,-0.18,-0.6,0.04,-1.53,-1.91,-0.82,-0.14,-0.48,-0.6,0.03,23,20,19,20,16,12,Y,Y,N,N,N
CLE,-4.85,-3.25,20.5,-3.5,-5.31,-5.36,-4.43,5.5,5.5,5.5,N,-6.43,-3.25,-3.37,-4.23,-3.8,-4.46,-2.6,-3.25,-2.7,-3.38,-3.04,-3.8,-3.57,28,27,29,27,28,30,Y,N,N,N,N
DAL,-4.21,-2.82,24,0,1.88,1.83,0.92,9.5,8.5,9,Y,0.92,-2.82,-1.5,-0.65,-1.07,-0.58,-2.26,-2.82,-1.2,-0.52,-0.86,-1.07,-0.46,27,23,21,22,21,11,Y,Y,Y,N,N
DEN,3.59,2.41,27,3,1.46,1.42,2.21,9.5,9.5,9.5,N,1.97,2.41,2.69,1.95,2.32,2.23,1.93,2.41,2.15,1.56,1.86,2.32,1.78,6,7,9,8,9,15,N,Y,N,N,N
DET,1.6,1.07,26,2,2.62,2.58,2.29,10.5,10.5,10.5,N,4.07,1.07,1.5,1.77,1.64,2.25,0.86,1.07,1.2,1.42,1.31,1.64,1.8,11,12,11,11,8,8,N,N,N,N,N
GB,0.95,0.64,26.5,2.5,2.72,2.67,2.59,9.5,10.5,10,Y,3.02,0.64,1.51,1.59,1.55,1.92,0.51,0.64,1.21,1.27,1.24,1.55,1.54,16,11,13,12,12,7,N,Y,N,N,N
HOU,5.06,3.39,24.5,0.5,1.67,1.63,1.06,9.5,9.5,9.5,N,1.97,3.39,2.04,2.57,2.3,2.22,2.71,3.39,1.63,2.06,1.84,2.3,1.78,4,10,5,9,9,13,N,Y,N,N,N
