BLOCK1 D/H formula under four states,,,,,,,,,,
Key,Governed,Prior,Wt,OLD_D,NEW_D,H_OLD,H_NEW,INDEXraw,ISNUM,TYPE
GP0,,-1.07,0.8,0,,-0.86,-1.07,,FALSE,2
GPPOS,1.234,-1.07,0.8,1.23,1.23,-0.61,-0.61,1.234,TRUE,1
EMPTY,,-1.07,0.8,0,,-0.86,-1.07,,FALSE,1
MISS,,-1.07,0.8,,,-1.07,-1.07,NA,FALSE,16
,,,,,,,,,,
BLOCK2 PRESEASON J/S + GP=0 effective (D fed by the fixed formula in F3),,,,,,,,,,
Team,E_reg,I_paste,J_centered,S_prior,H_effective,K_rank,,,,
ARI,-2.59,6.059,-5.96,-4.16,-4.16,29,,,,
ATL,-0.08,9.849,-2.17,-1.06,-1.06,21,,,,
BAL,1.15,15.9755,3.95,2.46,2.46,5,,,,
BUF,2.19,16.305,4.28,3.17,3.17,3,,,,
CAR,-1.62,9.5485,-2.47,-2.02,-2.02,26,,,,
CHI,1.07,13.555,1.53,1.28,1.28,13,,,,
CIN,-1.91,12.9195,0.9,-0.6,-0.6,20,,,,
CLE,-3.25,7.5935,-4.43,-3.8,-3.8,27,,,,
DAL,-2.82,12.9395,0.92,-1.07,-1.07,22,,,,
DEN,2.41,14.23,2.21,2.32,2.32,8,,,,
DET,1.07,14.312,2.29,1.64,1.64,11,,,,
GB,0.64,14.609,2.59,1.55,1.55,12,,,,
HOU,3.39,13.085,1.06,2.3,2.3,9,,,,
IND,1.02,11.3205,-0.7,0.22,0.22,16,,,,
JAX,4.03,12.562,0.54,2.4,2.4,7,,,,
KC,-0.05,14.274,2.25,1.02,1.02,15,,,,
LA,5.11,17.677,5.65,5.36,5.36,1,,,,
LAC,0.7,13.7,1.68,1.16,1.16,14,,,,
LV,-4.4,7.4135,-4.61,-4.5,-4.5,31,,,,
MIA,-3.3,6.1785,-5.84,-4.49,-4.49,30,,,,
MIN,0.62,11.3,-0.72,-0.01,-0.01,18,,,,
NE,2.61,14.249,2.23,2.43,2.43,6,,,,
NO,-1.17,9.8415,-2.18,-1.64,-1.64,23,,,,
NYG,-1.99,10.236,-1.79,-1.9,-1.9,24,,,,
NYJ,-5.84,6.899,-5.12,-5.5,-5.5,32,,,,
PHI,1.87,14.541,2.52,2.17,2.17,10,,,,
PIT,0.82,11.221,-0.8,0.06,0.06,17,,,,
SEA,5.13,16.526,4.5,4.84,4.84,2,,,,
SF,2.22,15.2305,3.21,2.68,2.68,4,,,,
TB,-0.6,11.5175,-0.5,-0.55,-0.55,19,,,,
TEN,-3.93,8.242,-3.78,-3.86,-3.86,28,,,,
WAS,-2.53,10.8,-1.22,-1.92,-1.92,25,,,,
,,,,,,,,,,
BLOCK3 DAL@NYG bridge,,,,,,,,,,
AwayEff,HomeEff,NDiff,HFA,FinalMargin,FairLine,Mkt,Edge,Side,DALrk,NYGrk
-1.07,-1.9,-0.83,1.6,0.77,NYG -0.8,2.5,3.27,NYG +2.5,22,24
