Seq,GameID,Date,Away,Home,Neutral,Market home spread,current_W1A FinalMargin,current_W1A edge,current_W1A side,current_W1B FinalMargin,current_W1B edge,current_W1B side,AB_vsin_W1A FinalMargin,AB_vsin_W1A edge,AB_vsin_W1A side,AB_fpi_W1A FinalMargin,AB_fpi_W1A edge,AB_fpi_W1A side,AB_comb_W1A FinalMargin,AB_comb_W1A edge,AB_comb_W1A side,AB_comb_W1B FinalMargin,AB_comb_W1B edge,AB_comb_W1B side,ABC_comb_W1A FinalMargin,ABC_comb_W1A edge,ABC_comb_W1A side,Edge>=3 any scenario,Side flips vs current
1,2026_01_NE_SEA,2026-09-09,NE,SEA,,-3.5,3.61,0.11,SEA,4.12,0.62,SEA,3.61,0.11,SEA,3.44,-0.06,NE,3.53,0.03,SEA,4.01,0.51,SEA,3.25,-0.25,NE,N,Y
2,2026_01_SF_LA,2026-09-10,SF,LA,Y,-3.5,2.31,-1.19,SF,2.89,-0.61,SF,1.97,-1.53,SF,2.31,-1.19,SF,2.15,-1.35,SF,2.68,-0.82,SF,2.03,-1.47,SF,N,N
3,2026_01_CHI_CAR,2026-09-13,CHI,CAR,,2.5,-0.56,1.94,CAR,-1.09,1.41,CAR,-1.04,1.46,CAR,-1.05,1.45,CAR,-1.04,1.46,CAR,-1.7,0.8,CAR,-1.23,1.27,CAR,N,N
4,2026_01_TB_CIN,2026-09-13,TB,CIN,,-3.5,0.55,-2.95,TB,0.29,-3.21,TB,1.41,-2.09,TB,1.72,-1.78,TB,1.56,-1.94,TB,1.55,-1.95,TB,1.99,-1.51,TB,Y,N
5,2026_01_NO_DET,2026-09-13,NO,DET,,-6.5,3.4,-3.1,NO,3.84,-2.66,NO,3.86,-2.64,NO,4.59,-1.91,NO,4.22,-2.28,NO,4.88,-1.62,NO,4.83,-1.67,NO,Y,N
6,2026_01_BUF_HOU,2026-09-13,BUF,HOU,,1.5,2.56,4.06,HOU,2.8,4.3,HOU,0.61,2.11,HOU,1.2,2.7,HOU,0.9,2.4,HOU,0.73,2.23,HOU,0.67,2.17,HOU,Y,N
7,2026_01_BAL_IND,2026-09-13,BAL,IND,,3.5,1.5,5,IND,1.47,4.97,IND,-0.51,2.99,IND,0.13,3.63,IND,-0.19,3.31,IND,-0.64,2.86,IND,-1.42,2.08,IND,Y,N
8,2026_01_CLE_JAX,2026-09-13,CLE,JAX,,-7.5,7.42,-0.08,CLE,8.88,1.38,JAX,6.02,-1.48,CLE,7.1,-0.4,CLE,6.56,-0.94,CLE,7.8,0.3,JAX,6.79,-0.71,CLE,N,Y
9,2026_01_ATL_PIT,2026-09-13,ATL,PIT,,-3.5,2.32,-1.18,ATL,2.5,-1,ATL,2.55,-0.95,ATL,2.46,-1.04,ATL,2.5,-1,ATL,2.72,-0.78,ATL,2.7,-0.8,ATL,N,N
10,2026_01_NYJ_TEN,2026-09-13,NYJ,TEN,,-2.5,3.13,0.63,TEN,3.51,1.01,TEN,3.16,0.66,TEN,2.67,0.17,TEN,2.91,0.41,TEN,3.24,0.74,TEN,3.01,0.51,TEN,N,N
11,2026_01_ARI_LAC,2026-09-13,ARI,LAC,,-10.5,4.23,-6.27,ARI,4.89,-5.61,ARI,5.62,-4.88,ARI,6.11,-4.39,ARI,5.86,-4.64,ARI,6.92,-3.58,ARI,7.32,-3.18,ARI,Y,N
12,2026_01_MIA_LV,2026-09-13,MIA,LV,,-3.5,1.22,-2.28,MIA,1,-2.5,MIA,2,-1.5,MIA,2.18,-1.32,MIA,2.09,-1.41,MIA,2.09,-1.41,MIA,2.52,-0.98,MIA,N,N
13,2026_01_GB_MIN,2026-09-13,GB,MIN,,-1.5,1.59,0.09,MIN,1.58,0.08,MIN,0.28,-1.22,GB,0.43,-1.07,GB,0.35,-1.15,GB,0.04,-1.46,GB,0.03,-1.47,GB,N,Y
14,2026_01_WAS_PHI,2026-09-13,WAS,PHI,,-5,5.12,0.12,PHI,6,1,PHI,4.98,-0.02,WAS,4.78,-0.22,WAS,4.88,-0.12,WAS,5.69,0.69,PHI,5.32,0.32,PHI,N,Y
15,2026_01_DAL_NYG,2026-09-13,DAL,NYG,,2.5,2.27,4.77,NYG,2.43,4.93,NYG,1.21,3.71,NYG,0.69,3.19,NYG,0.94,3.44,NYG,0.77,3.27,NYG,0.48,2.98,NYG,Y,N
16,2026_01_DEN_KC,2026-09-14,DEN,KC,,-2.5,-0.37,-2.87,DEN,-0.86,-3.36,DEN,0.18,-2.32,DEN,0.95,-1.55,DEN,0.56,-1.94,DEN,0.3,-2.2,DEN,1.25,-1.25,DEN,Y,N
